#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
 192000      1.68e+00    1.67e+00      1.73e-03    1.57e-03      1.40e-01    1.39e-01    1.4e-04
 193000      1.28e+00    1.26e+00      1.74e-03    1.23e-03      1.07e-01    1.05e-01    1.4e-04
 194000      1.47e+00    1.71e+00      5.07e-04    5.17e-04      1.23e-01    1.43e-01    1.4e-04
 195000      1.36e+00    9.44e-01      5.03e-04    5.54e-04      1.16e-01    8.09e-02    1.4e-04
 196000      1.49e+00    1.61e+00      8.92e-04    9.76e-04      1.28e-01    1.38e-01    1.4e-04
 197000      1.14e+00    1.38e+00      5.31e-04    7.24e-04      9.79e-02    1.18e-01    1.4e-04
 198000      1.60e+00    1.69e+00      7.60e-04    8.23e-04      1.37e-01    1.45e-01    1.4e-04
 199000      1.50e+00    1.21e+00      1.70e-03    9.91e-04      1.28e-01    1.03e-01    1.4e-04
 200000      1.16e+00    1.22e+00      6.33e-04    8.74e-04      1.02e-01    1.07e-01    1.3e-04
 201000      1.21e+00    1.16e+00      1.65e-03    1.45e-03      1.07e-01    1.02e-01    1.3e-04
 202000      1.38e+00    1.29e+00      1.57e-03    1.39e-03      1.22e-01    1.13e-01    1.3e-04
 203000      1.34e+00    1.22e+00      1.25e-03    1.17e-03      1.18e-01    1.07e-01    1.3e-04
 204000      1.48e+00    1.33e+00      1.03e-03    1.04e-03      1.30e-01    1.17e-01    1.3e-04
 205000      1.47e+00    1.07e+00      1.39e-03    1.29e-03      1.33e-01    9.60e-02    1.2e-04
 206000      1.20e+00    1.26e+00      2.36e-03    1.82e-03      1.08e-01    1.14e-01    1.2e-04
 207000      1.17e+00    1.30e+00      1.87e-03    1.92e-03      1.06e-01    1.18e-01    1.2e-04
 208000      1.25e+00    1.30e+00      1.81e-03    1.23e-03      1.13e-01    1.17e-01    1.2e-04
 209000      1.54e+00    1.13e+00      9.17e-04    5.96e-04      1.39e-01    1.02e-01    1.2e-04
 210000      1.13e+00    1.17e+00      1.10e-03    1.03e-03      1.04e-01    1.08e-01    1.2e-04
 211000      1.21e+00    1.39e+00      7.28e-04    9.72e-04      1.12e-01    1.29e-01    1.2e-04
 212000      1.14e+00    1.39e+00      6.00e-04    7.67e-04      1.06e-01    1.28e-01    1.2e-04
 213000      1.36e+00    1.05e+00      7.38e-04    6.81e-04      1.26e-01    9.69e-02    1.2e-04
 214000      1.50e+00    1.29e+00      8.67e-04    1.04e-03      1.39e-01    1.20e-01    1.2e-04
 215000      1.10e+00    1.21e+00      6.25e-04    6.89e-04      1.04e-01    1.14e-01    1.1e-04
 216000      1.24e+00    1.31e+00      8.90e-04    5.60e-04      1.18e-01    1.24e-01    1.1e-04
 217000      1.33e+00    1.12e+00      1.86e-03    1.39e-03      1.26e-01    1.06e-01    1.1e-04
 218000      1.45e+00    9.91e-01      7.38e-04    1.53e-03      1.37e-01    9.40e-02    1.1e-04
 219000      1.06e+00    1.47e+00      1.22e-03    1.03e-03      1.01e-01    1.40e-01    1.1e-04
 220000      9.25e-01    1.44e+00      8.37e-04    5.55e-04      9.00e-02    1.40e-01    1.0e-04
 221000      1.29e+00    1.29e+00      7.36e-04    8.47e-04      1.25e-01    1.26e-01    1.0e-04
 222000      1.38e+00    1.35e+00      4.38e-04    5.34e-04      1.34e-01    1.31e-01    1.0e-04
 223000      1.28e+00    1.25e+00      1.51e-03    7.53e-04      1.24e-01    1.22e-01    1.0e-04
 224000      1.21e+00    1.11e+00      6.89e-04    9.61e-04      1.18e-01    1.08e-01    1.0e-04
 225000      1.19e+00    1.54e+00      1.26e-03    1.03e-03      1.19e-01    1.54e-01    9.9e-05
